time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2024-05-21T00:53:58.975Z,-5.0004,102.9549,61.647,4.9,mb,60,133,0.636,0.48,us,us6000mzxx,2024-05-21T01:09:09.040Z,"112 km SSW of Pagar Alam, Indonesia",earthquake,4.69,6.679,0.077,53,reviewed,us,us
2024-05-21T00:43:15.680Z,17.96983333,-66.89566667,12.59,2.96,md,27,167,0.01258,0.2,pr,pr71449663,2024-05-21T01:00:27.920Z,"1 km SW of Maria Antonia, Puerto Rico",earthquake,0.47,0.28,0.166119845,11,reviewed,pr,pr
2024-05-21T00:39:37.753Z,26.1835,141.3915,38.2,5.4,mww,121,41,1.153,1.44,us,us6000mzxt,2024-05-22T00:45:09.977Z,"Bonin Islands, Japan region",earthquake,4.61,6.113,0.069,20,reviewed,us,us
2024-05-20T23:53:50.318Z,-14.9883,-70.2557,224.804,5.1,mww,105,116,2.692,1.3,us,us6000mzxl,2024-05-21T00:08:06.040Z,"10 km SW of Azángaro, Peru",earthquake,9.82,6.614,0.068,21,reviewed,us,us
2024-05-20T23:24:48.840Z,57.1327,-156.3886,70.7,3.1,ml,,,,0.4,ak,ak0246hkm5gu,2024-05-20T23:32:36.040Z,"74 km SE of Ugashik, Alaska",earthquake,,0.7,,,automatic,ak,ak
2024-05-20T22:46:47.887Z,37.2477,71.7539,153.26,4.1,mb,21,116,2.227,0.74,us,us6000mzx7,2024-05-22T05:26:14.040Z,"32 km SSE of Khorugh, Tajikistan",earthquake,6.6,5.803,0.303,3,reviewed,us,us
2024-05-20T22:37:36.265Z,64.524,-149.3825,3.3,2.6,ml,,,,0.95,ak,ak0246hk3h87,2024-05-20T23:01:29.040Z,"14 km WSW of Nenana, Alaska",earthquake,,0.4,,,automatic,ak,ak
2024-05-20T21:42:00.856Z,-21.4529,-179.2851,613.106,4.6,mb,55,118,4.461,0.89,us,us6000mzx0,2024-05-20T21:56:40.040Z,Fiji region,earthquake,13.25,9.226,0.041,179,reviewed,us,us
2024-05-20T21:27:00.841Z,33.4994,81.7677,10,4.7,mb,67,76,6.435,1.01,us,us6000mzwy,2024-05-20T22:04:04.040Z,western Xizang,earthquake,8.18,1.862,0.048,134,reviewed,us,us
2024-05-20T21:02:28.508Z,43.6076,-130.023,10,3.8,mb,32,236,2.332,0.84,us,us6000mzwt,2024-05-21T13:00:43.505Z,off the coast of Oregon,earthquake,11.02,2.016,0.228,5,reviewed,us,us
2024-05-20T20:54:41.365Z,31.648,-104.479,6.4587,2.8,ml,24,73,0,0.2,tx,tx2024jxju,2024-05-21T12:39:39.147Z,"59 km S of Whites City, New Mexico",earthquake,2.621233485842699,1.1145478955430335,0.2,20,reviewed,tx,tx
2024-05-20T20:34:41.456Z,36.5006,70.3667,197.151,4.5,mb,66,68,2.221,0.79,us,us6000mzwk,2024-05-20T21:00:07.956Z,"46 km E of Farkhār, Afghanistan",earthquake,5.77,5.792,0.052,111,reviewed,us,us
2024-05-20T19:46:13.080Z,40.7672,14.0351,7.639,4.2,mb,33,132,0.482,0.58,us,us6000mzw5,2024-05-21T21:03:49.997Z,"2 km NE of Procida, Italy",earthquake,4.31,5.813,0.2,7,reviewed,us,us
2024-05-20T19:45:31.663Z,59.674,-139.3114,17.4,2.8,ml,,,,0.76,ak,ak0246hicvse,2024-05-20T20:27:17.040Z,"27 km ENE of Yakutat, Alaska",earthquake,,0.3,,,automatic,ak,ak
2024-05-20T19:42:15.913Z,-8.9473,112.6125,87.986,5.2,mb,66,43,1.594,0.78,us,us6000mzw3,2024-05-21T06:46:03.539Z,"82 km S of Dampit, Indonesia",earthquake,6.53,6.656,0.058,99,reviewed,us,us
2024-05-20T19:31:07.039Z,-29.2301,-177.2526,35,4.9,mb,28,141,0.584,0.64,us,us6000mzvy,2024-05-20T20:10:21.040Z,"Kermadec Islands, New Zealand",earthquake,13.02,1.944,0.12,22,reviewed,us,us
2024-05-20T19:21:41.005Z,59.8013,-139.2949,8.1,3.3,ml,,,,0.74,ak,ak0246hi7rb8,2024-05-21T19:26:58.686Z,"37 km NE of Yakutat, Alaska",earthquake,,0.1,,,reviewed,ak,ak
2024-05-20T18:59:53.200Z,18.1016,-68.3486,92,3.55,md,13,211,0.4136,0.34,pr,pr2024141001,2024-05-20T20:19:01.040Z,"41 km SE of Boca de Yuma, Dominican Republic",earthquake,2.61,1.73,0.15,12,reviewed,pr,pr
2024-05-20T18:31:33.788Z,41.5898,78.9162,10,4.3,mb,39,155,0.987,0.89,us,us6000mzvn,2024-05-20T19:40:09.040Z,"106 km SSE of Ak-Suu, Kyrgyzstan",earthquake,2.26,1.938,0.107,25,reviewed,us,us
2024-05-20T18:10:03.346Z,40.7466,14.072,10.007,4.1,mb,58,133,0.471,0.78,us,us6000mzvj,2024-05-21T05:43:58.913Z,"4 km ESE of Procida, Italy",earthquake,5.96,5.719,0.123,18,reviewed,us,us
2024-05-20T17:23:41.586Z,-14.6337,-73.7862,86.216,4.5,mb,31,135,3.971,0.52,us,us6000mzv8,2024-05-20T18:27:39.040Z,"23 km NE of Tambo, Peru",earthquake,3.71,9.533,0.102,28,reviewed,us,us
2024-05-20T16:35:30.323Z,-22.0337,-68.6985,113.175,4.2,mb,15,73,0.557,0.44,us,us6000mzv1,2024-05-20T17:17:20.040Z,"52 km NNE of Calama, Chile",earthquake,3.42,7.034,0.236,5,reviewed,us,us
2024-05-20T16:34:21.765Z,4.5622,126.8367,79.206,4.5,mb,69,70,2.787,0.74,us,us6000mzv3,2024-05-20T17:04:29.040Z,"178 km ESE of Sarangani, Philippines",earthquake,9.34,6.858,0.074,54,reviewed,us,us
2024-05-20T15:42:08.900Z,18.15133333,-65.91166667,22.62,3.12,md,7,128,0.1732,0.22,pr,pr71449568,2024-05-21T00:44:59.665Z,"5 km SW of Las Piedras, Puerto Rico",earthquake,0.91,2.26,0.227231418,3,reviewed,pr,pr
2024-05-20T15:30:34.169Z,67.9695,-136.3874,15.6,3.7,ml,,,,0.75,ak,ak0246hfvypi,2024-05-20T16:32:59.130Z,"118 km WSW of Inuvik, Canada",earthquake,,0.5,,,reviewed,ak,ak
